Country name,Rank Young,Rank Lower Mid,Rank Upper Mid ,Rank Old,Ladder score
Finland,7,1,1,2,7.741
Denmark,5,3,4,1,7.583
Iceland,4,4,2,5,7.525
Sweden,18,8,3,4,7.344
Israel,2,2,7,18,7.341
Netherlands,9,5,5,7,7.319
Norway,20,6,6,3,7.302
Luxembourg,6,11,8,12,7.122
Switzerland,13,9,11,14,7.060
Australia,19,14,10,9,7.057
New Zealand,27,18,13,6,7.029
Costa Rica,11,15,23,17,6.955
Kuwait,16,20,9,13,6.951
Austria,12,17,18,15,6.905
Canada,58,28,12,8,6.900
Belgium,24,13,15,19,6.894
Ireland,21,21,21,16,6.838
Czechia,10,12,22,23,6.822
Lithuania,1,7,20,44,6.818
United Kingdom,32,27,19,20,6.749
Slovenia,15,10,27,32,6.743
United Arab Emirates,35,25,16,11,6.733
United States,62,42,17,10,6.725
Germany,47,16,28,21,6.719
Mexico,22,19,32,33,6.678
Uruguay,30,22,34,24,6.611
France,48,23,26,25,6.609
Saudi Arabia,42,39,14,27,6.594
Kosovo,23,37,33,39,6.561
Singapore,54,36,25,26,6.523
Taiwan Province of China,25,35,31,34,6.503
Romania,8,26,35,48,6.491
El Salvador,17,38,45,52,6.469
Estonia ,44,24,30,35,6.448
Poland,43,34,24,40,6.442
Spain,55,40,29,29,6.421
Serbia,3,29,44,54,6.411
Chile,39,32,42,46,6.360
Panama,26,43,41,56,6.358
Malta,57,41,38,31,6.346
Italy,41,31,39,38,6.324
Guatemala,49,46,54,49,6.287
Nicaragua,28,53,61,47,6.284
Brazil,60,44,40,37,6.272
Slovakia,38,33,37,60,6.257
Latvia,31,30,49,51,6.234
Uzbekistan,71,62,36,22,6.195
Argentina,34,52,64,45,6.188
Kzakhstan,69,48,43,42,6.188
Cyprus,51,49,62,57,6.068
Japan,73,73,52,36,6.060
South Korea,52,45,55,59,6.058
Philippines,70,68,58,43,6.048
Vietnam,65,54,53,69,6.043
Portugal,46,50,46,63,6.030
Hungary,36,51,48,70,6.017
Paraguay,37,59,75,83,5.977
Thailand,45,69,69,41,5.976
Malaysia,64,66,60,71,5.975
China,79,67,57,30,5.973
Honduras,56,72,73,58,5.968
Bahrain,77,60,50,61,5.959
Croatia,14,47,59,80,5.942
Greece,53,58,56,67,5.934
Bosnia and Herzegovina,33,65,67,78,5.877
Libya,80,73,51,50,5.866
Jamaica,84,61,47,68,5.842
Peru,63,64,80,73,5.841
Dominican Republic,61,70,79,75,5.823
Mauritius,85,77,63,28,5.816
Moldova,29,55,66,86,5.816
Russia,68,57,78,66,5.785
Bolivia,74,75,77,65,5.784
Ecuador,59,79,89,84,5.725
Kyrgyzstan,81,81,68,55,5.714
Montenegro,50,56,70,97,5.707
Mongolia,86,74,65,53,5.696
Colombia,76,78,71,72,5.695
Venezuela,83,80,83,64,5.607
Indonesia,75,82,84,79,5.568
Bulgaria,40,71,74,90,5.463
Armenia,72,83,88,88,5.455
South Africa,87,84,81,82,5.422
North Macedonia,67,76,85,98,5.369
Algeria,93,85,82,62,5.364
Hong Kong S.A.R. of China,97,89,72,74,5.316
Albania,66,86,97,100,5.304
Tajikistan,89,88,86,87,5.281
Congo (Brazzaville),88,97,90,85,5.221
Mozambique,94,87,96,89,5.216
Georgia,78,91,91,91,5.185
Iraq,90,96,94,95,5.166
Nepal,92,101,93,76,5.158
Laos,104,93,76,77,5.139
Gabon,91,99,100,106,5.106
Ivory Coast,100,92,95,96,5.080
Guinea,103,94,99,81,5.023
Türkiye,101,98,92,92,4.975
Senegal,99,104,102,111,4.969
Iran,96,100,104,103,4.923
Azerbaijan,95,103,103,108,4.893
Nigeria,108,95,87,130,4.881
State of Palestine,102,105,109,99,4.879
Cameroon,106,102,98,107,4.874
Ukraine,82,90,110,115,4.873
Namibia,105,106,101,114,4.832
Morocco,98,108,107,113,4.795
Pakistan,107,109,113,122,4.657
Niger,116,110,114,101,4.556
Burkina Faso,117,107,116,105,4.548
Mauritania,119,112,106,93,4.505
Gambia,110,116,115,112,4.485
Chad,120,111,111,94,4.471
Kenya,109,119,123,119,4.470
Tunisia,118,113,108,118,4.422
Benin,115,117,122,117,4.377
Uganda,111,118,124,134,4.372
Myanmar,122,115,105,102,4.354
Cambodia,112,122,120,110,4.341
Ghana,121,114,1129,125,4.289
Liberia,113,126,127,104,4.269
Mali,125,120,118,116,4.232
Madagascar,124,123,119,109,4.228
Togo,126,121,112,127,4.214
Jordan,114,124,130,123,4.186
India,127,127,121,121,4.054
Egypt,130,125,126,124,3.977
Sri Lanka,123,128,128,128,3.898
Bangladesh,128,129,129,120,3.886
Ethiopia,131,120,125,131,3.861
Tanzania,129,132,131,126,3.781
Comoros,132,139,133,135,3.566
Yemen,135,135,136,129,3.561
Zambia,136,131,138,142,3.502
Eswatini,134,134,137,136,3.502
Malawi,137,140,135,132,3.421
Botswana,133,133,140,140,3.383
Zimbabwe,139,138,139,137,3.341
Congo (Kishasa),140,137,134,139,3.295
Sierra Leone,141,136,132,133,3.245
Lesotho,138,141,142,138,3.186
Lebanon,142,142,141,141,2.707
Afghanistan,143,143,143,143,1.721
